318039 Dumont, José
1035295 Savalas, Telly
1106875 Sprouse, Cole
757046 McColm, Matt
72695 Baron Cohen, Sacha
163286 Byers, Christian
1078378 Simmons, J.K.
344911 Estrella, Alberto
33544 Andronica, James
157847 Burke, Joe Michael
355534 Faxon, Nat
44224 Arnold, Dace
1082371 Sinise, Gary
1264087 Wilson, Owen
215012 Clark, Dick
50740 Attenborough, Richard
1235403 Warden, Jack
793529 Mitchell, Billy
737858 Martin, Dean
169729 Callow, Simon
231671 Cook, Dane
936049 Preiss, Paul
845105 Nicolo, Joe
663316 LeBeau, Mikey
606394 Kiley, Nathan
254934 Czuchry, Matt
1060120 Sewell, Rufus
664982 Lee, Bruce
567588 Johnston, Daniel
1117019 Sterne, David
761277 McGill, Bruce
118705 Bogucharsky, Artyom
445746 Greene, Richard
490804 Heard, John
371540 Fletcher, Benjamin
21072 Allen, Brian Keith
837110 Negron, Frankie
7316 Adelman, Ken
90405 Belushi, James
1095294 Snyder, Dana
570987 Jones, Orlando
838083 Nelson, Craig T.
180473 Carney, Martin
554962 Jaramillo, Germán
133060 Bradford, Dave
1231063 Wallach, Eli
259931 Dalton, Darren
1227546 Wahlberg, Mark
571794 Jones, Vinnie
559679 Jensen, Tyler
1244769 Weisser, Morgan
1118993 Stewart, Josh
126042 Bosch, Johnny Yong
1240234 Wayne, John
333304 Elejalde, Karra
173971 Candy, John
1116178 Stephens, Toby
319291 Dunn, James
929606 Poor, Bray
266273 David, Angel
297925 Dillon, Hugh
36392 Anthony, Ray
257327 Dabas, Parvin
853206 Noseworthy, Jack
1068613 Shevtsov, George
880976 Pagano, Vincent
950682 Raffaelli, Cyril
805153 Moore, Patrick
463046 Haas, Lukas
942450 Pullman, Bill
206492 Chinlund, Nick
171187 Cameron, Ryan
804377 Moore, Christopher Michael
560285 Jerome, Paul
870529 Onorati, Peter
543738 Ishikawa, Hiroshi
249848 Csokas, Marton
160843 Busey, Gary
384427 Franzese, Daniel
572595 Jordan, John Samuel
270165 Davoli, Andy
22974 Almada, Mario
51230 Aubrac, Raymond
15549 Albert, Edward
30221 Anderson, Daniel
1101026 Soto, Algenis Perez
780650 Meyers, Josh
1172548 Topp, Shayne
552403 James, LeBron
1071709 Short, Columbus
91852 Benedict, Rob
263151 Danson, Ted
105489 Biggerstaff, Sean
812673 Morse, David
648798 Lamboy, Joshua
241632 Cowan, Omar
133104 Bradford, Jon
1212517 Verzhbitskiy, Viktor
171291 Camilleri, Guy
906717 Perkins, Anthony
75381 Bart, Peter
678280 Lewis, Jason
18284 Alexander, Jason
388460 Friedman, Hillel
917759 Pierce, Bradley
395810 Gaffey, Aaron
251164 Cullum, John
138383 Bremner, Ewen
1184140 Tucci, Stanley
1103956 Speer, Hugo
14325 Alabarrán, Gerardo
559908 Jeong, Jun-ho
463897 Hackman, Gene
297967 Dillon, Kevin
377174 Forest, Michael
200217 Chase, Chevy
966920 Reilly, John C.
657237 Lau, Andy
20248 Alito, Samuel
987608 Robinson, John
884243 Palminteri, Chazz
260037 Dalton, Timothy
247303 Crosby, David
966538 Reid, Richard
506833 Hill, Sam
326907 Eckert, Todd
686317 Liotti, Daniele
590590 Kattan, Chris
181513 Carr, Michael
461600 Gómez, Carmelo
49212 Astin, Mackenzie
740132 Martinez, Olivier
171766 Campbell, Adam
846593 Nighy, Bill
615224 Klein, Robert
1183586 Tsujitani, Kôji
516267 Holmes, Athena
855795 Nussbaum, Danny
329674 Efron, Zac
666085 Lee, Jon
1155738 Terzian, Matt
219 7, Marc
1183688 Tsunashima, Gotaro
545017 Itô, Hideaki
141797 Brisbane, Syd
415456 Getty, Balthazar
981351 Rispoli, Michael
480844 Harris, R. Keith
670818 LeMay, John D.
1257417 Wilkinson, Tom
266488 David, Larry
970183 Resines, Antonio
257910 Dagannaud-Brouard, Hadrian
211810 Churchman, James M.
447456 Grenier, Zach
80412 Baum, Jürgen
1183623 Tsukayama, Masane
848065 Ninomiya, Kazunari
477476 Hardy, Tom
251224 Culp, Robert
145070 Brophy, Anthony
393721 Furuya, Tôru
598909 Kennedy, Bret
160676 Buscemi, Steve
1239190 Watson, Muse
456206 Guillén Cuervo, Fernando
47392 Ash, William
97555 Berlau, James
34738 Angle, Kurt
458367 Gurney, Scott
523633 Howard, Clint
688840 Livingston, Ron
233521 Cooper, Scott
850379 Noiret, Philippe
436658 Goss, Luke
491716 Hedaya, Dan
883608 Palmara, Mimmo
700811 Lucas, Laurent
1037851 Scavullo, Richard
359185 Ferguson, Craig
675414 Leuchter Jr., Fred A.
677703 Lewis, Alex
713367 Macleod, John-Paul
6078 Adams, Eric
120138 Bollig, Brandon
110363 Black, Jack
38683 Appleby, Noel
1285900 Young, Kenny
1128072 Stévenin, Sagamore
652991 Lanter, Matt
978403 Riegert, Peter
684002 Linda, Boguslaw
112412 Blanc, Michel
89299 Belle, Williams
8590 Affleck, Ben
491279 Heavener, David
319315 Dunn, Jeremy
1043514 Schneider, John
1125377 Strik, Reshad
764071 McKenna, Chris
1157953 Thewlis, David
865514 Okada, Junichi
5613 Adamczyk, Piotr
792447 Mironov, Yevgeni
666171 Lee, Julian
563536 Johansson, Paul
179988 Carmichael, Clint
143961 Bronsky, Brick
360198 Fernandez, Shiloh
94799 Benward, Luke
310003 Dourdan, Gary
510648 Hoad, Robbie
7890 Adler, Michael
1062501 Shane, Mick
1050706 Scott, Michael
857173 Núñez Jr., Miguel A.
766855 McMurray, Sam
99805 Berry, David
1053382 Seeley, Andrew
1264202 Wilson, Richard
241784 Cowell, Bill
681269 Lie, Anders Danielsen
657694 Laughlin, John
1237677 Wastell, Stephen
207034 Chittenden, Khan
195668 Chambers, Justin
276151 De Niro, Robert
19206 Alfieri, Victor
214789 Clark, Brett Baxter
433231 Good, Craig
81830 Baynard Jr., George
825518 Myer, Larry
465264 Haggard, Ted
361698 Ferreira, Chris
212062 Chéreau, Patrice
854895 Nucci, Danny
346014 Evans, Chris
516266 Holmes, Ashton
1273856 Wormald, Kenny
61330 Bakaitis, Helmut
206230 Chin, Kar Lok
764390 McKenzie, Rocky
548202 Jackson, Michael
552581 James, Oliver
325162 Earley, Brenton
693257 London, Jason
523522 Howard, Andrew
518059 Honeybourne, Jamie
1194546 Uwais, Iko
969354 Renner, Jeremy
414078 Gere, Richard
255978 D'Antonio, Toni
301489 Djuric, Branko
856666 Nyqvist, Michael
463389 Haberman, Eric
334821 Elliott, David James
1022817 Salmon, Colin
1158330 Thieriot, Max
76666 Baruchel, Jay
556664 Jay, Michael
543060 Isaacs, Jason
102938 Bezenzette, Federico
198926 Chappelle, Dave
386158 Freeman, Alfonso
118222 Bogarde, Dirk
841723 Newman, David
57603 Bacic, Steve
1027569 Sandler, Adam
564279 Johnson, Aaron
292870 Dharmendra
3096 Abraham, F. Murray
506790 Hill, Robert
1047137 Schuster, Leon
1198889 Van Bergen, Lewis
124215 Boreanaz, David
981883 Ritter, Mark
1240199 Wayne, Ethan
28306 Amos, David
812919 Mortensen, Viggo
895380 Patrick, Robert
556253 Jauregui, Robert
439727 Graham, Holter
312468 Drayer, David
1096831 Sol, Kyung-gu
1091732 Smith, Kerr
777646 Merrick, Brian
252385 Cupo, Patrick
467709 Hall, Bruce Michael
1254746 Wiehl, Christopher
938021 Priestley, Jason
167564 Caine, Michael
860740 O'Neill, Con
28099 Amonte, Frank
320144 Dupontel, Albert
226008 Collins, Misha
838864 Nelson, Willie
862604 Obregón, Claudio
42649 Arklie, Thomas
346797 Evans, Shaun
972957 Rhames, Ving
692870 Lombardi, Nate
81417 Bay, Byron
651141 Lane, Nathan
474456 Hansard, Glen
186122 Casey, Innis
1083916 Sives, Jamie
618010 Knight, Matthew
305928 Donavan, Robert
1189203 Tyson, Richard
976032 Richardson, Anslem
528360 Hughes, Barnard
125474 Borrego, Jesse
1077709 Simanton, Jon
324716 E-40
1142903 Takakura, Ken
762272 McGregor, Ewan
381286 Foxx, Jamie
711359 Mach, Frantisek
661 Aaronson, Scott
419845 Gilford, Zach
234531 Corbett, John
1266224 Winstone, Ray
845735 Nielsen, Leslie
896498 Paul IV, Dean
1150384 Taylor, Dub
178650 Cariou, Len
899170 Peace, Joshua
994399 Rohner, Clayton
843803 Nicholas, Thomas Ian
1161825 Thompson, Kenan
608535 Kimura, Takuya
672941 Leonardo, Louie
628586 Kovaleski, Christopher
908301 Perry, Matthew
601894 Kesmodel, Steve
898463 Paymer, David
478780 Harold, Gale
199460 Charles, Josh
639572 Kusatsu, Clyde
568064 Joiner, Michael
1259793 Williams, John Michael
383213 Frank, Ben
291639 Devine, Aidan
881265 Page, Sam
207125 Chiu, Man Cheuk
1150781 Taylor, John
47761 Ashkenazi, Lior
459997 Guy, Sebastien
224157 Coleman, John E.
101661 Beste, David
992159 Rodríguez, Gabino
664539 Ledger, Heath
899500 Pearce, Oscar
538100 Igus, Darrow
79843 Baud, Anselme
248566 Crudup, Billy
754917 McCaffrey, James
53726 Aviles, Jesse 'The Human Bomb'
29272 Anconina, Richard
71903 Barnes, James
202402 Chen, Edison
1249872 Whannell, Leigh
740321 Martinez, Vincent
1049702 Scott, Adam
857857 O'Brien, Richard
387494 Fresh, Doug E.
77660 Bass, Lance
135271 Brando, Marlon
528964 Hughes, Tom
94649 Benton, Mark
425115 Glenn, Scott
101544 Best, James
255030 Cámara, Javier
256746 D.L.
1276928 Wyman, J.H.
784254 Mihok, Dash
565825 Johnson, Jesse
5049 Acosta, Robert
808876 Morgan, Curtis
568652 Joner, Kristoffer
1254288 Wicks, Drew
246081 Criss, Anthony 'Treach'
1043258 Schneebaum, Tobias
32838 Andrew, Robert
52501 Austin, David
1043633 Schneider, Paul
380768 Fox, David
934202 Power, Will
881522 Pagones, Theo Nicholas
1214216 Vidan, Richard
691899 Logan, Paul
1075504 Sijacki, Dusan
10649 Ahearn, Frank M.
1050984 Scott, Seann William
755898 McCarthy, Thomas
22060 Allen, Shane
1223752 Vosloo, Arnold
73792 Barrett, Dan
91247 Benchagra, Khalid
245081 Cregger, Zach
1264649 Wilson-O'Brien, Tommy
551891 James, Colton
256651 D, Mike
369689 Fitzpatrick, Jim
1283774 Yoba, Malik
17545 Aleman, Hugo
905997 Perez, George
135930 Branson, Jeff
142948 Brock, Napoleon Murphy
235432 Corff, Bob
1289427 Zahn, Steve
755930 McCarthy-Boyington, Paul
161553 Busto, Humberto
947170 Quinn, Alex A.
987527 Robinson, James
1004623 Roundtree, Richard
1264432 Wilson, Stuart
336960 Emers, Seth
498555 Herati, Arif
16550 Alcondez, Alejandro
618653 Knott, Robert
976317 Richardson, John
435033 Gordon, Eben
866162 Okumoto, Yuji
301652 DMX
237076 Corrigan, Kevin
1175182 Toupin, Robert
1157844 Theroux, Justin
331573 Eisermann, André
70192 Bardo, James
818681 Muldoon, Patrick
248209 Crowe, Russell
899854 Pearson, Jay
706422 Lynch, Kevin
158074 Burke, Will
1218429 Vippolis, André
1273510 Woolvett, Jaimz
237464 Cortese, Dan
53330 Avenet-Bradley, Brian
721919 Malkovich, John
389935 Frost, Alex
135865 Branning, Chris
1275116 Wright, Jeffrey
67569 Bannen, Ian
801858 Monte, Ted
821936 Murphy, Charles Q.
331022 Eigeman, Chris
58517 Badreya, Sayed
1201411 Van Hoy, Cameron
964899 Reeve, Christopher
1257756 Willemse, Vernon
917698 Pieraccioni, Leonardo
334912 Elliott, John
865526 Okada, Kouki
68010 Bao, David
178263 Carey, Jarod
1280979 Yaqub, Atta
1035659 Savini, Tom
501026 Heron, Blake
509451 Hirshberg, Gary
274626 De la Serna, Rodrigo
1028067 Sands, Stark
22137 Allen, Tim
507003 Hillard, Jon
1102759 Spain, Douglas
418138 Gibson, Thomas
229533 Connery, Sean
480886 Harris, Richard
16845 Alder, Danny
101617 Best, Robert
223399 Cole, Doug
253820 Cushing, Peter
417043 Giannopoulos, Nick
1600 Abdalla, Khalid
1130129 Sullivan, Daniel Patrick
777831 Merriman, Ryan
805884 Mora, Daniel Edward
255101 Cárdenas, Víctor
400031 Gamble, Rand
1247418 Werner, Roy
579739 Kagawa, Teruyuki
658760 Lavant, Denis
653112 Lanvin, Gérard
279923 DeCarlo, Mark
1184299 Tucker, Chris
289756 Descas, Alex
943806 Putzulu, Bruno
371928 Fliakos, Ari
1049751 Scott, Andrew
961185 Raymond, Usher
73763 Barrett, Brendon Ryan
170604 Camargo, Christian
167939 Calabro, Thomas
549116 Jacobs, Jon
86917 Behrendt, Greg
404901 Garfield, J.D.
471316 Hamm, Jon
740381 Martini, Derick
973010 Rhee, Phillip
775867 Menshikov, Oleg
378247 Forsythe, William
218184 Clemons, Inny
243348 Craig, Edwin
300550 Divoff, Andrew
617354 Knauf, Cory
328421 Edward, Gary
318032 DuMont, James
481879 Harrity, William
239299 Costner, Kevin
537703 Igawa, Togo
634443 Krupa, Olek
564597 Johnson, Brad
533952 Hutzler, Brody
605786 Kier, Udo
1192305 Unger, Brian
162330 Butler, Ron
339334 Enos III, John
864592 Oguri, Shun
381687 Frain, James
925570 Podalydès, Bruno
160844 Busey, Jake
163558 Byrd, Eugene
1117352 Stevens, Andrew
694123 Longinidis, Stan
1159468 Thomas, Eddie Kaye
1159312 Thomas, Dave
868720 Olsen, Eric Christian
10385 Aguirre, Marco Antonio
601433 Kerry, John
915565 Phillips, Lou Diamond
86865 Behr, Jason
924191 Platt, Oliver
373484 Floyd, Kevin
253630 Curtis, Tony
410471 Gebrsellasie, Haile
703421 Luna, Diego
1399 Abbott, David
927235 Polinsky, Alexander
274647 de la Torre, Antonio
996313 Romano, Ray
409871 Gaynes, George
425666 Glover, Donald
468443 Hall, Philip Baker
1279065 Yam, Simon
647649 Lam, Ching-Ying
27383 Ames, Jonathan
1130192 Sullivan, Erik Per
660052 Lawrence, Joseph
132724 Bracho, Julio
559737 Jenson, Sasha
19088 Alfano, Eddie
857845 O'Brien, Peter
392279 Fuller, Drew
927267 Polish, Mark
1208787 Velasquez, Jonathan
366963 Finster
1096294 Soffer, Jesse Lee
1219084 Visnjic, Goran
214875 Clark, Christa
693651 Long, Jackie
187192 Cassidy, Patrick
1267127 Wiseau, Tommy
306999 Donze, David W.
161886 Butler, Alton
1112106 Staudner, Gregor
168019 Caland, Philippe
520605 Horne, John Kennedy
209827 Christian, Shawn
1220766 Vogel, Mike
287570 Dennehy, Brian
70983 Barker, Josh
813200 Morton, Joe
907110 Perlman, Ron
678391 Lewis, Jon
1145495 Tanaka, Hideyuki
246398 Crnkovich, Thomas
81491 Bayar
495508 Hemsworth, Chris
157927 Burke, Michael Reilly
1300744 Îzuka, Shôzô
1141795 Tagawa, Cary-Hiroyuki
664950 Lee, Brandon
841050 Nevins, Gabe
1017829 Sadler, William
543553 Ishida, Akira
392547 Fullola, Manu
972187 Reynolds, Burt
1004692 Rourke, Mickey
121369 Bondarenko, Stanislav
219551 Clyde, K.C.
761607 McGlone, Mike
677115 Levy, Eugene
1002810 Rossi, Mick
155089 Bukowski, Charles
200126 Charvet, David
401990 Garcia, Andy
1262547 Wilmot, David
126548 Bossell, Simon
747772 Matsuda, Yôji
539616 Immekus, James
1159575 Thomas, George
254588 Cyrus, Billy Ray
542472 Irons, Nicholas
21663 Allen, Kevin
413635 Geraghty, Brian
1113566 Stefaniuk, Rob
321284 Durning, Charles
552784 James, Steve
607684 Kim, Nam-gil
246197 Cristiano, Giuseppe
317169 Duhamel, Josh
937794 Price, Vincent
331994 Eklund, Michael
984398 Robbins, Tim
916183 Phoenix, River
894044 Pastorelli, Robert
1008025 Rucker, Lamman
111211 Blackwell, Rus
444603 Green, Johnny
1242458 Weeks, Gary
971417 Reyes Jr., Ernie
1273308 Woolf, Adam
45087 Arquette, David
181658 Carradine, Robert
756387 McClatchy, Kevin
3779 Absolom, Joe
587988 Karner, Philipp
1053628 Sefton, Jay
252941 Currie, Gordon
1136455 Swift, Todd
1291893 Zaugh, David
465875 Haig, Sid
569735 Jones, Evan
748084 Matsuoka, Masahiro
126691 Bostick, Devon
449219 Griggs, Jeff
78688 Bates, Alan
4705 Ackerman, Randy
22574 Allison, Graham
1118803 Stewart, French
1290109 Zamachowski, Zbigniew
858205 O'Connell, Jerry
1279203 Yamadera, Kôichi
985264 Roberts, Eric
44534 Arnold, Tobias
1082871 Sir, Young
1194209 Ustinov, Peter
696094 Loree, Brad
593927 Keaton, Michael
312066 Drake, Larry
1231046 Wallace, Wayne
381347 Foy, Mike
380802 Fox, Edward
957966 Rasche, David
119101 Boira, Francisco
256493 D'Onofrio, Vincent
734953 Marquette, Ron
169838 Calmeyer, Joachim
393993 Futterman, Dan
649695 Lancaster, Burt
677950 Lewis, Damian
519328 Hope, William
1159667 Thomas, Henry
813711 Moseley, Bill
1002117 Ross, Matt
910902 Peterson, Jeff
752641 Mayo, Whitman
141319 Brimble, Nick
923513 Placido, Michele
531841 Hunting, Fred
160014 Burstein, Danny
19292 Alfonzo, José Luis
560155 Jericho, Chris
1195145 Vaden, Phillip
856516 Nyks, Kelly
503414 Hewlett, David
761419 McGinley, John C.
231494 Coogan, Steve
1015093 Régent, Benoît
639740 Kusnitz, Jared
542916 Irwin, Steve
173566 Canady, Tylan
542857 Irwin, Jay
1051629 Sculfor, Paul
1059494 Settle, Matthew
522781 Hounsou, Djimon
1146282 Tanihara, Shôsuke
529133 Huguley, Jay
617018 Klyn, Vincent
652884 Lansbury, David
716421 Magimel, Benoît
244062 Cranham, Kenneth
317158 Duhamel, Claude
201566 Chaykin, Maury
690656 Loch, Philip
261211 Dance, Charles
1264168 Wilson, Rainn
777065 Merhar, Stanislas
781440 Michael, Douglas
727074 Manojlovic, Miki
652892 Lansch, John
454639 Guerra, Leonardo
149378 Bruce, Ed
37038 Antonio, Alejandro
260287 Daly, Tim
18174 Alexander, Flex
152516 Bucatinsky, Dan
740416 Martini, Max
672475 Leon, David
1035996 Sawa, Devon
852026 Norman, Jonathan
452478 Gruffudd, Ioan
883150 Palillo, Ron
339568 Ensign, Michael
666249 Lee, Kenny
1167904 Tiwari, Anand
31990 Ando, Masanobu
1009172 Ruggiero, Allelon
1061940 Shakir, Mustafa
963681 Redwine, Tim
1120796 Stockwell, John
648415 Lambert, Christopher
1202 Abbas, Yunis Khatayer
285628 DeLuise, Peter
824941 Muxworthy, Jake
1251785 White, John
1077294 Silverman, Michael
335608 Ellis, Tom
795569 Mizuhashi, Kenji
1030365 Santos, Chris
1263812 Wilson, Lambert
1262765 Wilson, Andreas
519392 Hopkins, Anthony
68739 Barba, Arturo
989922 Roday, James
956549 Raney, Walter
92431 Benitez, Mike
968407 Remar, James
229230 Connell, Gaelan
274439 De La Paz, Danny
1127294 Stuhlbarg, Michael
144807 Brooks, Peter
1003713 Roth, Tim
1235811 Warlock, Billy
878326 Owens, Eamonn
1057785 Serbedzija, Rade
832663 Nardi, Tony
207907 Choi, Woo-jae
1207556 Vazquez, Yul
357327 Feldman, Corey
487761 Hawkins, J.D.
260042 Dalton, Tony
741902 Martínez, Fele
122632 Bono
533852 Hutton, Hal
309096 Doug, Doug E.
89974 Belmonte, Nicolás
33039 Andrews, Greg
89417 Belleville, Ryan
168721 Caleodis, George
1205571 Varney, Jim
226460 Collymore, Stan
19484 Algieri, Michael
543542 Ishibashi, Ryo
1192255 Ungalaaq, Natar
575593 Jugnot, Gérard
61617 Baker, Charles
299419 Dionisi, Stefano
56405 Babatundé, Obba
566717 Johnson, R. Brandon
657591 Lauer, Justin
1068967 Shields, Frank Corey
160402 Burton, Richard
351558 Fan, Siu-Wong
615246 Klein, Spencer
1245087 Welch, Christopher Evan
589546 Kassovitz, Mathieu
850927 Nomura, Eugene
309241 Doughty, Kenny
650839 Lane Jr., Teddy
1843 Abdo, Steve
369713 Fitzpatrick, Leo
122638 Bono, César
51773 August, Robert
418167 Gibson, Tyrone
29531 Andersen, Dan
1273239 Woolard, Jamal
64750 Ballam, Michael
117202 Bockemeier, Erik J.
441352 Grant, Hugh
290551 DesRoches, Joshua
1295492 Ziegler, Günther
136704 Braun, Kurt
207828 Choi, Min-sik
720351 Maksic, Vladimir
1000302 Rosen, Sam
991283 Rodriguez, Jason
690116 Lo, Chi Muoi
1228434 Walczak, Chuck
569089 Jones, Brandon Valley
119554 Boland, Brian
35489 Anoai, Afa
171930 Campbell, Christian
1033019 Sarysz, Michael
542487 Ironside, Michael
54332 Axton, Hoyt
965714 Rehany, Oren
74098 Barrick, Jordan
1292668 Zegers, Kevin
190764 Cavalieri, Michael
446974 Gregory, Leo
682056 Light, Kevin
656001 Laser, Dieter
863714 Oedekerk, Steve
130473 Bowles, Hamish
1250822 Whitaker, Forest
24464 Alterio, Ernesto
1079106 Simon, Pavol
326592 Echevarría, Emilio
1300184 Álvarez-Nóvoa, Carlos
88366 Bell, Chris
151308 Bryan, Robbie
39909 Arata, Michael
1134507 Svenson, Bo
1059898 Sevier, Corey
1100294 Sorimachi, Takashi
512777 Hoffman, Robert
1286085 Young, Neil
565774 Johnson, Jeffery Thomas
710757 MacDonald, Norm
1129581 Suicide, Bully
235647 Corley, Sharron
279886 DeCamillis, Tony
618158 Knight, T.R.
734943 Marquette, Chris
993978 Rogers, Trenton
186997 Cassel, Vincent
1226842 Waggoner, Lyle
1210058 Ventimiglia, Milo
968868 Renaud, Francis
700784 Lucas, Josh
488600 Hayden, John
1187663 Turturro, John
806367 Morales, Esai
976855 Richman, Orien
834337 Naughton, David
848354 Nishikawa, Lane
134813 Brancato, Lillo
230892 Conti, Tom
918415 Pierson, John
932151 Postlethwaite, Pete
312445 Draxl, Tim
443470 Graziadei, Michael
133323 Bradley, Doug
89929 Belmondo, Jean-Paul
722372 Malloy, Matt
796156 Mobley, Nathan
763010 McIlroy, Andrew
648095 Lamas, Lorenzo
13984 Al-Amir, Hudhail
1160432 Thomas, Richard
799006 Moll, Richard
13159 Akin, David
218494 Cliff, Jimmy
1227003 Wagner, David
709777 Mably, Luke
936313 Prentiss, Robert
991578 Rodriguez, Paul
1198047 Valley, Mark
133299 Bradley, David
864710 Oh, Yeong-su
1001800 Ross, Evan
783338 Midkiff, Dale
215148 Clark, Hamish
631087 Krause, Brian
564594 Johnson, Brad
760297 McEvoy, Barry
737917 Martin, Duane
148984 Browning, Chris
72139 Barnes, Steven E.
191180 Cavill, Henry
551487 Jamaal, Rahman
1071912 Shortz, Will
551288 Jal, Emmanuel
438014 Gourley, Benjamin
123170 Boon, Dany
250904 Culkin, Rory
22313 Allers, Roger
1177645 Travis, Randy
665426 Lee, Eol
376577 Ford, Harrison
842318 Newton, John
1245509 Weller, Peter
506049 Hill, Bernard
892681 Parys, Corey William
1260762 Williams, Robin
505171 Higgins, Michael
146873 Brown, Gilbert Glenn
925146 Plummer, Glenn
684052 Lindberg, Chad
1089048 Smit-McPhee, Kodi
352695 Farina, Dennis
881330 Pagel, Justin
1296916 Zissis, Steve
616112 Kline, Kevin
550250 Jaenicke, Hannes
282111 Dekker, Thomas
1008152 Rudd, Paul
896300 Patton, Will
824216 Muskatell, Timothy
838305 Nelson, Ian Blake
268135 Davis, Bryant
755122 McCallany, Holt
433754 Goodman, Henry
182177 Carrey, Jim
1151096 Taylor, Matthew W.
334893 Elliott, Jeremy
166963 Cage, Nicolas
533520 Hutchinson, Derek
1185572 Tunick, Spencer
767841 McPherson, Devin
143211 Broderick, Matthew
71734 Barnes, Ben
786372 Millbern, David
227998 Compston, Martin
421802 Ginn-Forsberg, Aaron
762197 McGraw, Mark
428920 Goldman, David
1059307 Seth, Joshua
1166234 Timberlake, Justin
526996 Hubley, Whip
557653 Jeffery, Doug
647481 Lally, Brian
121944 Boni, Alessio
570991 Jones, Osheen
35448 Anno, Sam
507207 Hilliard, Marshall
7745 Adkins, Trace
43435 Armstrong, Hugo
1116431 Stepp, Craig
1102605 Spade, David
178061 Carell, Steve
834350 Naughton, James
388553 Friedman, Peter
717798 Mahjoub, Hossein
1245483 Weller, Frederick
762690 McGuire, Victor
567565 Johnston, Chris
607443 Kim, Jin-geun
252332 Cuong, Tuan
343261 Esparza, Felipe
858246 O'Connell, Mike
777076 Merhi, Jalal
754426 McAuliffe, Callan
1166251 Timbrook, Corbin
1123938 Strange, Mark
343272 Esparza, Juan Ángel
985541 Roberts, Jon
459770 Guttenberg, Steve
1039428 Scheider, Roy
1240278 Wayne, Randy
1237793 Watanabe, Ken
1300695 Écoffey, Jean-Philippe
628200 Koutník, Tomás
1291316 Zara, Michael
64920 Ballard, Nick
28273 Amory, Michael L.
616127 Kline, Owen
1285186 Young, Aden
232947 Cooper, Chris
222259 Cohen, Michaël
710611 MacDonald, Gordon
148245 Brown, Russell Vann
440017 Graham, Stephen
1048112 Schwarzenegger, Arnold
22262 Allende, Fernando
758735 McDade, Ross
143689 Brolin, James
1035093 Savage, Fred
1183580 Tsujimura, Mahito
205221 Chiba, Shigeru
1019799 Saitô, Yôichirô
528552 Hughes, Frank John
706387 Lynch, John
196525 Chan, Lung
920647 Pinkston, Ryan
769125 Meaney, Colm
749883 Maudsley, Tony
388813 Friend, Joseph
490713 Heames, Darin
52574 Austin, Jake T.
368290 Fisher, Bryan
603772 Khan, Shahrukh
691993 Loggia, Robert
117096 Bochner, Hart
34051 Angarano, Michael
82937 Beard, Glynn
986379 Robertson, Iain
350623 Falcon, Jeffrey
546492 J, Violent
473652 Hanks, Jim
532475 Hurst, Michael
767477 McNeill, John Joe
329767 Egan, Christopher
106463 Billingsley, John
906385 Perez, Walter
751402 May, Andrew
400207 Games, Marcelo
1097474 Solimeno, Cristian
257499 Dacascos, Mark
93297 Bennett, Jimmy
1091069 Smith, Ian Michael
1032749 Sarrazin, Michael
6533 Adams, Phillip
83058 Beardsley, Dick
852973 Norton, Richard
786735 Miller, Chancellor
336589 Elwes, Cary
692102 Logue, Donal
865056 Ohsawa, Takao
113221 Blanks, Billy
802645 Montgomery, Anthony
224662 Colin, Grégoire
470716 Hamilton, Derek
338125 Enfield, Harry
703913 Lundgren, Dolph
1120786 Stockwell, Dean
1035226 Savage, Shawn
721372 Malgras, Frédéric
1138658 Szmanda, Eric
212214 Ciangherotti, Alan
74039 Barrett, Wayne
373820 Flynn, Joe
1193248 Urbina, Roberto
140460 Bridges, Jeff
98325 Bernard, Carlos
1260487 Williams, Patrick
852289 Norris, Aaron
858954 O'Donnell, Chris
793986 Mitchell, Kel
499202 Herholz, Max
1146358 Tank
763678 McKay, Lathan
851805 Noriega, Eduardo
891334 Parnell, Chris
1270770 Wong, Michael
50400 Atkinson, Rowan
297162 Digby, Max
2010 Abdullah, Haji
146165 Brown, Bryan
649568 Lamure, Dominique
676699 Levine, Ted
1262180 Willmon, Trent
865464 Oka, Masi
909687 Peter-Kaiser, Eric
44057 Arnett, Will
543450 Isfeld, Justin
214863 Clark, Chris
415151 Gervais, Ricky
410313 Geary, Karl
485653 Hatch, Richard
268435 Davis, Don S.
151886 Brynner, Yul
1100617 Sorvino, Paul
876022 Oswalt, Patton
279644 DeBoe, Alex
159053 Burns, David
1099941 Sorbo, Kevin
457534 Gunn, Chris
576302 Jung, Clint
1140755 T-Bone
913049 Pettyfer, Alex
492712 Heidik, Brian
1093937 Smits, Jimmy
698781 Lovitz, Jon
125364 Borowicz, David
448442 Griffin, Eddie
1161540 Thompson, Greg
1237251 Washington, Isaiah
662350 Le, Bruce
1220934 Vogler, Rüdiger
44256 Arnold, Dick
117660 Bodrov Jr., Sergey
406119 Garrett, Sven
619421 Kobayashi, Katsuya
704392 Lunsford, Scott
678145 Lewis, Geoffrey
676867 Levitch, Timothy 'Speed'
401270 Ganz, Bruno
203121 Cheng, Kwan-Min
67743 Bannon, Chad
885586 Pang, Adrian
1022701 Salmerón, Gustavo
687189 Lissauer, Trevor
976363 Richardson, Kevin Michael
1250727 Whishaw, Ben
1240832 Weaving, Hugo
294484 Diamont, Don
1008243 Rudebeck, Johan
